GeneID,Gene,Description,CON,H9,H18
100002875,hmox2a ,heme oxygenase 2a,7.82,2.48,1.37
100003157,zbtb18 ,zinc finger and BTB domain containing 18,2.32,1.33,0.69
100003413,kdm4aa ,"lysine (K)-specific demethylase 4A, genome duplicate a",2.05,1.17,0.66
100003524,fam134b ,"family with sequence similarity 134, member B",12.60,5.09,1.20
100003539,tacr1a ,tachykinin receptor 1a,8.57,2.34,1.89
100003592,gpr125 ,G protein-coupled receptor 125,5.08,2.42,1.37
100003642,si:dkey-246g23.2 ,si:dkey-246g23.2,6.77,2.06,1.46
100003704,LOC100003704 ,protein sprouty homolog 2-like,6.25,4.26,0.89
100004118,pcdh9 ,protocadherin 9,1.18,0.89,0.51
100004663,si:dkey-188i13.11 ,si:dkey-188i13.11,45.50,8.58,4.53
100005026,rilp ,Rab interacting lysosomal protein,3.26,1.47,0.66
100005106,plekha7b ,"pleckstrin homology domain containing, family A member 7b",2.38,1.02,0.72
100005518,pdzrn3b ,PDZ domain containing RING finger 3b,4.30,1.90,1.34
100006189,osbpl5 ,oxysterol binding protein-like 5,2.41,0.89,0.63
100006305,LOC100006305 ,glypican 5c,8.28,2.54,1.71
100006454,tead1b ,TEA domain family member 1b,2.16,1.67,0.76
100007510,si:dkey-24c2.9 ,si:dkey-24c2.9,6.83,2.76,1.48
100007686,LOC100007686 ,phosphomannomutase 1-like,3.66,2.29,0.80
100008070,ns:zf-e68 ,ns:zf-e68,19.91,4.81,1.87
100008100,zgc:174180 ,zgc:174180,1.16,0.51,0.28
100009663,atg9a ,ATG9 autophagy related 9 homolog A (S. cerevisiae),6.53,2.98,1.88
100034487,lrp12 ,low density lipoprotein receptor-related protein 12,4.49,3.01,1.62
100034578,si:dkey-97m3.1 ,si:dkey-97m3.1,14.82,5.51,3.24
100037358,zgc:163073 ,zgc:163073,75.75,12.40,4.41
100124594,aspg ,asparaginase homolog (S. cerevisiae),4.02,1.80,0.79
100126016,ank3b ,ankyrin 3b,7.28,3.54,2.03
100126114,zgc:171679 ,zgc:171679,12.01,4.13,3.05
100126812,pnpla8 ,patatin-like phospholipase domain containing 8,1.69,1.06,0.67
100137610,zgc:175154 ,"cat eye syndrome chromosome region, candidate 5",5.13,1.59,1.09
100141355,zgc:171497 ,zgc:171497,2.61,1.40,0.73
100141364,zgc:172180 ,zgc:172180,13.01,2.92,2.44
100142639,timd4 ,T-cell immunoglobulin and mucin domain containing 4,5.05,1.71,1.31
100144557,rap1gap ,RAP1 GTPase activating protein,3.08,1.31,0.76
100148413,plk2a ,polo-like kinase 2a (Drosophila),5.29,2.31,1.82
100149048,LOC100149048 ,sestrin-3-like,6.58,2.34,1.52
100149345,si:ch211-39k3.2 ,si:ch211-39k3.2,10.77,3.17,1.68
100149388,LOC100149388 ,"inositol 1,4,5-trisphosphate receptor, type 1b",3.86,2.63,1.35
100149390,lmod3 ,leiomodin 3 (fetal),11.42,3.46,2.26
100149391,LOC100149391 ,trinucleotide repeat-containing gene 6C protein-like,2.98,1.06,0.83
100149555,stard9 ,StAR-related lipid transfer (START) domain containing 9,2.80,1.39,0.76
100150119,LOC100150119 ,apolipoprotein L6-like,4.15,1.93,0.75
100150332,nhsa ,Nance-Horan syndrome a (congenital cataracts and dental anomalies),1.54,0.63,0.53
100150991,coa6 ,cytochrome c oxidase assembly factor 6,27.93,7.92,4.65
100151764,btr06 ,"bloodthirsty-related gene family, member 6",1.04,0.63,0.30
100170793,ulk1a ,unc-51 like autophagy activating kinase 1a,4.40,2.77,1.28
100286774,mrc1a ,"mannose receptor, C type 1a",1.63,0.90,0.60
100286814,fam101b ,"family with sequence similarity 101, member B",5.41,3.07,1.33
100320926,si:ch1073-76a20.1 ,si:ch1073-76a20.1,1.40,0.85,0.37
100321338,slc2a1b ,"solute carrier family 2 (facilitated glucose transporter), member 1b",67.18,20.63,9.98
100322195,tmem87b ,transmembrane protein 87B,3.22,1.81,0.92
100329294,LOC100329294 ,uncharacterized LOC100329294,928.56,128.33,46.21
100329397,LOC100329397 ,ankyrin repeat domain-containing protein 46-like,4.15,1.49,1.00
100329788,si:ch73-217n20.1 ,si:ch73-217n20.1,3.95,1.51,0.59
100329855,myrfl ,myelin regulatory factor-like,3.84,1.94,0.79
100330276,LOC100330276 ,"threonine--tRNA ligase, cytoplasmic",15.68,3.12,2.40
100330315,adnp ,activity-dependent neuroprotector homeobox,1.50,0.74,0.61
100330617,tsc1b ,tuberous sclerosis 1b,2.06,0.80,0.68
100330629,LOC100330629 ,receptor-type tyrosine-protein phosphatase delta,4.02,1.72,1.53
100331041,trib2 ,tribbles pseudokinase 2,5.99,3.61,2.05
100331216,LOC100331216 ,gap junction delta-2 protein-like,2.00,1.47,0.47
100331649,dgki ,"diacylglycerol kinase, iota",3.83,1.69,0.88
100331743,LOC100331743 ,"NAD(P) transhydrogenase, mitochondrial",138.37,17.99,11.58
100332245,LOC100332245 ,cordon-bleu WH2 repeat protein-like 1b,2.13,1.02,0.63
100332446,LOC100332446 ,uncharacterized LOC100332446,51.21,10.78,7.59
100332644,LOC100332644 ,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1-like,5.19,1.84,0.93
100332911,gpam ,"glycerol-3-phosphate acyltransferase, mitochondrial",16.70,3.29,2.33
100333254,nfatc2 ,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",2.26,1.37,0.92
100333321,prodha ,proline dehydrogenase (oxidase) 1a,25.52,7.64,4.90
100333825,LOC100333825 ,uncharacterized LOC100333825,52.12,10.01,7.79
100333845,brcc3 ,"BRCA1/BRCA2-containing complex, subunit 3",4.55,1.76,1.51
100333987,man2a2 ,"mannosidase, alpha, class 2A, member 2",4.80,2.20,1.76
100334442,LOC100334442 ,T-lymphoma invasion and metastasis-inducing protein 2,9.86,2.85,1.82
100334756,LOC100334756 ,calmodulin-binding transcription activator 2-like,11.59,3.77,2.11
100334893,col18a1 ,"collagen, type XVIII, alpha 1",8.16,3.02,0.72
100534737,ano5a ,anoctamin 5a,7.63,3.77,2.31
100535004,spidr ,scaffolding protein involved in DNA repair,5.06,1.84,1.13
100535152,sh3tc2 ,SH3 domain and tetratricopeptide repeats 2,4.66,3.44,1.03
100536810,tmem102 ,transmembrane protein 102,1.89,1.12,0.49
100536858,mfap5 ,microfibrillar associated protein 5,14.21,3.71,2.48
100537117,LOC100537117 ,calcitonin gene-related peptide type 1 receptor-like,5.94,1.96,0.62
100537419,plekha1 ,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1b",8.70,2.99,2.09
100537539,kiaa1161 ,si:dkey-228b2.5,7.48,2.88,2.40
100537556,LOC100537556 ,RNA-binding protein Musashi homolog 1-like,9.74,5.52,2.02
100537860,LOC100537860 ,histone-lysine N-methyltransferase ASH1L-like,5.13,2.68,1.53
100538165,LOC100538165 ,alpha-actinin-2-like,10.44,2.73,1.77
101882879,si:dkeyp-68b7.10 ,si:dkeyp-68b7.10,22.85,5.19,1.61
101883146,ppp1r3aa ,"protein phosphatase 1, regulatory subunit 3Aa",8.89,2.87,0.73
101883179,LOC101883179 ,RNA-binding protein Musashi homolog 1-like,20.99,5.39,1.70
101883460,LOC101883460 ,filamin-A-interacting protein 1-like,7.82,3.08,1.81
101883528,LOC101883528 ,peptidase inhibitor 16-like,6.18,3.71,1.62
101883751,LOC101883751 ,protein phosphatase 1 regulatory subunit 3E-like,4.39,3.05,0.94
101884253,LOC101884253 ,hemicentin-1-like,2.08,1.53,0.79
101884732,LOC101884732 ,oocyte zinc finger protein XlCOF15-like,2.09,1.05,0.41
101884737,kank4 ,KN motif and ankyrin repeat domains 4,6.61,1.79,1.64
101884924,LOC101884924 ,sodium-coupled neutral amino acid transporter 3-like,29.25,5.37,1.76
101885062,LOC101885062 ,metalloproteinase inhibitor 3-like,4.44,2.19,0.57
101885162,LOC101885162 ,receptor tyrosine-protein kinase erbB-4-like,6.42,1.98,1.28
101885208,LOC101885208 ,pleckstrin homology domain-containing family G member 3-like,3.26,1.24,0.73
101885444,LOC101885444 ,uncharacterized LOC101885444,2.44,1.01,0.52
101885652,eppk1 ,epiplakin 1,0.93,0.49,0.32
101886095,LOC101886095 ,si:ch73-344o19.1,9.85,3.92,1.97
101886231,LOC101886231 ,uncharacterized LOC101886231,4.14,1.57,1.32
101886518,LOC101886518 ,uncharacterized LOC101886518,1.39,0.92,0.32
101886579,LOC101886579 ,protein NLRC3-like,2.90,0.96,0.87
101887081,LOC101887081 ,atypical chemokine receptor 2-like,2.48,1.91,0.63
101887161,tet2 ,tet methylcytosine dioxygenase 2,1.63,1.05,0.72
103908606,LOC103908606 ,zinc finger protein 239-like,1.47,0.82,0.65
103909035,LOC103909035 ,ankyrin 3a,14.83,4.34,2.52
103909296,LOC103909296 ,uncharacterized LOC103909296,8.25,2.63,1.56
103909485,LOC103909485 ,uncharacterized LOC103909485,5.44,2.49,0.93
103909608,LOC103909608 ,sarcalumenin-like,104.46,21.37,12.95
103910026,LOC103910026 ,PDZ and LIM domain protein 7-like,86.43,10.40,7.81
103910355,sec14l1 ,SEC14-like 1 (S. cerevisiae),7.55,2.23,1.69
103910930,LOC103910930 ,uncharacterized LOC103910930,12.43,4.50,3.22
103911273,LOC103911273 ,uncharacterized LOC103911273,17.68,8.75,3.30
103911611,LOC103911611 ,uncharacterized LOC103911611,19.65,9.09,3.76
103911702,LOC103911702 ,uncharacterized LOC103911702,7.62,5.33,2.39
103911795,LOC103911795 ,uncharacterized LOC103911795,8.33,3.47,2.63
103911976,LOC103911976 ,uncharacterized LOC103911976,15.28,4.72,3.58
30327,cyt1 ,"type I cytokeratin, enveloping layer",0.00,0.85,0.06
81590,cldn1 ,claudin 1,0.00,0.71,0.00
321023,nnr ,nanor,0.00,0.36,0.00
368902,si:ch211-214p16.2 ,si:ch211-214p16.2,0.00,1.29,0.00
405772,hbbe2 ,hemoglobin beta embryonic-2,0.00,0.37,0.00
436584,gcgb ,glucagon b,0.00,0.37,0.04
493630,crygm1 ,"crystallin, gamma M1",0.00,0.46,0.00
553135,tas2r203 ,"taste receptor, type 2, member 203",0.00,0.29,0.00
554095,fabp1b.1 ,"fatty acid binding protein 1b, tandem duplicate 1",0.00,1.16,0.00
555962,tgm1l4 ,transglutaminase 1 like 4,0.01,1.48,0.05
556170,pcp2 ,Purkinje cell protein 2,0.12,0.69,0.00
556746,si:ch73-364h19.1 ,si:ch73-364h19.1,0.00,0.42,0.00
560136,armc3 ,armadillo repeat containing 3,0.00,0.34,0.01
562600,hoxc12a ,homeobox C12a,0.00,0.34,0.00
565781,LOC565781 ,"somatostatin 1, tandem duplicate 2",0.00,0.77,0.00
567792,ankrd53 ,si:ch211-1o7.2,0.00,1.18,0.00
568428,LOC568428 ,si:ch211-107e6.5,0.00,0.40,0.00
568516,si:ch73-21g5.7 ,si:ch73-21g5.7,0.00,0.48,0.00
569893,nmbb ,neuromedin Bb,0.00,0.34,0.00
570100,LOC570100 ,ADM-like,0.10,4.55,0.13
570552,LOC570552 ,si:dkey-103j14.5,0.00,0.32,0.04
571061,zgc:171501 ,zgc:171501,0.00,0.35,0.00
571949,bmf1 ,Bcl2 modifying factor 1,0.36,6.35,0.00
572300,si:dkey-22i16.7 ,si:dkey-22i16.7,0.00,0.43,0.00
641576,zgc:122979 ,zgc:122979,0.28,2.88,0.08
751731,tspan34 ,tetraspanin 34,0.00,2.27,0.00
791470,b3gnt5b ,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5b",0.00,0.59,0.00
795145,si:dkey-30j10.5 ,si:dkey-30j10.5,0.01,0.33,0.00
796088,LOC796088 ,uncharacterized LOC796088,0.10,1.55,0.13
796252,cxl34b.11 ,"CX chemokine ligand 34b, duplicate 11",0.00,1.26,0.00
798384,ch25hl1.2 ,"cholesterol 25-hydroxylase like 1, tandem duplicate 2",0.00,0.36,0.00
799612,prl2 ,prolactin 2,0.00,0.41,0.01
100000253,LOC100000253 ,RING finger protein 222-like,0.09,0.60,0.00
100003859,cxcl8b.3 ,"chemokine (C-X-C motif) ligand 8b, duplicate 3",0.00,0.48,0.00
100004938,si:dkey-63b1.1 ,si:dkey-63b1.1,0.10,0.96,0.00
100005854,zgc:194242 ,zgc:194242,0.04,0.29,0.00
100006250,LOC100006250 ,annexin A2-A-like,0.00,0.60,0.01
100034398,utrnp ,"utrophin, pseudogene",0.00,0.38,0.00
100126110,zgc:171452 ,zgc:171452,0.00,0.26,0.00
100126123,zgc:174006 ,zgc:174006,0.21,3.36,0.15
100148066,nxph1 ,neurexophilin 1,0.00,0.35,0.00
100148845,mespbb ,mesoderm posterior bb,0.00,0.20,0.00
100149157,- ,,0.00,0.60,0.00
100149229,LOC100149229 ,B-cell receptor CD22-like,0.00,0.31,0.00
100149810,LOC100149810 ,hereditary hemochromatosis protein homolog,0.00,1.05,0.00
100150190,zdhhc23a ,"zinc finger, DHHC-type containing 23a",0.01,0.31,0.00
100151329,LOC100151329 ,interference hedgehog-like,0.00,0.25,0.00
100192217,ccl20a.3 ,"chemokine (C-C motif) ligand 20a, duplicate 3",0.00,0.47,0.00
100270757,scpp1 ,secretory calcium-binding phosphoprotein 1,0.04,1.05,0.00
100321346,si:dkey-9i4.1 ,si:dkey-9i4.1,0.00,2.23,0.00
100329393,si:ch73-288o11.4 ,si:ch73-288o11.4,0.00,0.37,0.05
100329562,fep15 ,fep15 selenoprotein,0.02,0.39,0.00
100330882,LOC100330882 ,"serine protease HTRA2, mitochondrial-like",0.00,0.97,0.00
100331368,- ,,0.00,0.28,0.00
100331432,si:ch73-263o4.3 ,si:ch73-263o4.3,0.00,0.51,0.00
100332901,LOC100332901 ,oocyte zinc finger protein XlCOF15-like,0.00,0.62,0.00
100333120,LOC100333120 ,si:ch73-22a13.3,0.00,0.44,0.04
100334296,LOC100334296 ,monocyte chemotactic protein 1B-like,0.00,0.35,0.00
100535180,LOC100535180 ,uncharacterized LOC100535180,0.08,0.77,0.00
100536400,LOC100536400 ,immunoglobulin-like and fibronectin type III domain-containing protein 1,0.00,12.62,0.00
100536618,LOC100536618 ,sperm acrosome-associated protein 5-like,0.02,1.13,0.00
100536819,LOC100536819 ,"beta-1,3-galactosyltransferase 2-like",0.00,0.55,0.00
100536863,gig2f ,grass carp reovirus (GCRV)-induced gene 2f,0.00,0.25,0.00
100536871,prlh ,prolactin releasing hormone,0.00,0.43,0.00
100537869,LOC100537869 ,"chemokine (C-C motif) ligand 39, duplicate 7",0.03,0.48,0.00
100538118,LOC100538118 ,uncharacterized LOC100538118,0.00,0.51,0.00
101882085,LOC101882085 ,zinc finger BED domain-containing protein 1-like,0.03,0.46,0.00
101882809,LOC101882809 ,zinc finger protein 335-like,0.00,0.41,0.00
101882928,LOC101882928 ,vegetative cell wall protein gp1-like,0.00,0.42,0.04
101883349,LOC101883349 ,"putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842",0.00,0.30,0.00
101883394,LOC101883394 ,uncharacterized LOC101883394,0.00,0.35,0.00
101883685,LOC101883685 ,uncharacterized LOC101883685,0.00,0.50,0.00
101883720,LOC101883720 ,uncharacterized LOC101883720,0.00,0.50,0.00
101883977,LOC101883977 ,bile salt export pump-like,0.00,0.46,0.00
101884038,LOC101884038 ,uncharacterized LOC101884038,0.00,1.56,0.00
101884167,LOC101884167 ,uncharacterized LOC101884167,0.00,0.66,0.00
101884178,LOC101884178 ,uncharacterized LOC101884178,0.00,1.09,0.00
101884565,LOC101884565 ,uncharacterized LOC101884565,0.00,3.37,0.00
101884642,LOC101884642 ,Ig kappa chain V-VI region NQ6-8.3.1-like,0.00,0.55,0.00
101884758,LOC101884758 ,gastrula zinc finger protein XlCGF7.1-like,0.00,0.40,0.00
101884769,LOC101884769 ,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1-like,0.01,0.22,0.00
101884864,LOC101884864 ,protein unc-13 homolog B-like,0.06,0.64,0.00
101885170,LOC101885170 ,uncharacterized LOC101885170,0.00,0.35,0.00
101885932,ctxn1 ,cortexin 1,0.00,0.69,0.00
101886152,LOC101886152 ,uncharacterized LOC101886152,0.05,0.70,0.00
101886316,LOC101886316 ,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like",0.07,0.63,0.00
101886553,LOC101886553 ,protein PXR1-like,0.10,1.22,0.00
101886593,LOC101886593 ,uncharacterized LOC101886593,0.00,0.44,0.00
101886600,LOC101886600 ,uncharacterized LOC101886600,0.00,0.47,0.00
101886661,LOC101886661 ,uncharacterized LOC101886661,0.00,0.77,0.00
101886667,LOC101886667 ,mediator of RNA polymerase II transcription subunit 2-like,0.00,0.75,0.00
101886933,LOC101886933 ,adenylate cyclase type 2-like,0.00,0.55,0.00
101886979,LOC101886979 ,"Ig gamma-2A chain C region, membrane-bound form-like",0.00,7.20,0.22
101887023,LOC101887023 ,cystatin-B-like,0.00,0.59,0.00
103908840,LOC103908840 ,uncharacterized LOC103908840,0.00,0.54,0.00
103909017,LOC103909017 ,uncharacterized LOC103909017,0.00,0.59,0.00
103909101,LOC103909101 ,UPF0329 protein ECU05_1680/ECU11_0050-like,0.00,2.97,0.00
103909182,LOC103909182 ,uncharacterized LOC103909182,0.00,3.09,0.00
103909245,LOC103909245 ,serine/threonine-protein kinase pim-3 pseudogene,0.46,35.17,0.00
103909323,LOC103909323 ,uncharacterized LOC103909323,0.00,0.26,0.00
103909566,LOC103909566 ,uncharacterized LOC103909566,0.00,0.69,0.00
103909600,LOC103909600 ,uncharacterized LOC103909600,0.00,0.74,0.00
103909633,LOC103909633 ,uncharacterized LOC103909633,0.00,1.23,0.00
103909716,LOC103909716 ,uncharacterized LOC103909716,0.00,0.97,0.00
103909837,sapcd1 ,suppressor APC domain containing 1,0.01,0.54,0.00
103909942,LOC103909942 ,methyltransferase-like protein 23,0.00,0.57,0.00
103909968,LOC103909968 ,short transient receptor potential channel 3-like,0.00,0.63,0.00
103910184,LOC103910184 ,eukaryotic translation initiation factor 3 subunit A-like,0.04,0.21,0.00
103910206,LOC103910206 ,uncharacterized LOC103910206,0.00,1.08,0.00
103910261,LOC103910261 ,zinc finger protein 32-like,0.00,8.75,0.00
103910362,LOC103910362 ,uncharacterized LOC103910362,0.00,0.85,0.05
103910400,LOC103910400 ,uncharacterized LOC103910400,0.22,1.57,0.00
103910463,LOC103910463 ,uncharacterized LOC103910463,0.00,0.99,0.11
103910594,LOC103910594 ,uncharacterized LOC103910594,0.00,0.46,0.00
103910606,LOC103910606 ,gastrula zinc finger protein XlCGF57.1-like,0.00,27.94,0.37
103910828,LOC103910828 ,uncharacterized LOC103910828,0.28,2.00,0.00
103910833,LOC103910833 ,uncharacterized LOC103910833,0.00,1.84,0.00
103911030,LOC103911030 ,uncharacterized LOC103911030,0.13,0.81,0.00
103911174,LOC103911174 ,uncharacterized LOC103911174,0.00,0.33,0.00
103911202,LOC103911202 ,uncharacterized LOC103911202,0.00,3.17,0.00
103911305,LOC103911305 ,C-type lectin lectoxin-Lio2-like,0.00,0.34,0.02
103911501,LOC103911501 ,uncharacterized LOC103911501,0.05,0.54,0.00
103911683,LOC103911683 ,uncharacterized LOC103911683,0.00,2.44,0.00
103911816,LOC103911816 ,uncharacterized LOC103911816,0.00,2.17,0.00
103911841,LOC103911841 ,uncharacterized LOC103911841,0.00,21.22,0.00
103911894,LOC103911894 ,WD repeat-containing protein 49-like,0.00,0.40,0.00
103911906,LOC103911906 ,serine/threonine-protein kinase pim-3-like,0.02,0.48,0.00
103911940,LOC103911940 ,uncharacterized LOC103911940,0.00,15.72,0.00
103912037,LOC103912037 ,uncharacterized LOC103912037,0.00,1.98,0.00
30078,nccrp1 ,non-specific cytotoxic cell receptor protein 1,5.94,23.77,15.01
30081,ptpn1 ,"protein tyrosine phosphatase, non-receptor type 1",1.83,5.15,2.55
30228,pes ,pescadillo,2.90,11.68,8.84
30266,sema3aa ,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Aa",1.09,2.71,1.90
30276,cx43.4 ,connexin 43.4,0.75,3.03,1.02
30445,brd2a ,bromodomain containing 2a,1.94,6.86,5.22
30467,max ,myc associated factor X,3.74,15.01,10.81
30602,sox11a ,SRY (sex determining region Y)-box 11a,1.15,3.46,2.48
30671,hsp70 ,"heat shock cognate 70-kd protein, tandem duplicate 1",0.62,6.27,1.30
30686,myca ,v-myc avian myelocytomatosis viral oncogene homolog a,1.86,7.87,4.31
30705,fgfr1a ,fibroblast growth factor receptor 1a,2.60,11.75,3.91
30744,cbfb ,"core-binding factor, beta subunit",2.24,15.03,9.35
30770,robo3 ,"roundabout, axon guidance receptor, homolog 3 (Drosophila)",1.02,2.83,2.06
58022,casp8 ,"caspase 8, apoptosis-related cysteine peptidase",1.41,3.52,2.40
58081,baxa ,"bcl2-associated X protein, a",1.74,6.67,4.14
58092,smad3a ,SMAD family member 3a,0.87,2.74,1.37
58099,arntl2 ,aryl hydrocarbon receptor nuclear translocator-like 2,0.59,3.54,1.28
58117,ctnnbip1 ,"catenin, beta interacting protein 1",1.71,5.38,3.82
64610,atp1a3a ,"ATPase, Na+/K+ transporting, alpha 3a polypeptide",1.12,6.13,2.02
65237,mapk14a ,mitogen-activated protein kinase 14a,2.73,7.04,4.93
81593,cldn12 ,claudin 12,1.24,3.82,2.40
114436,dusp5 ,dual specificity phosphatase 5,2.25,18.21,6.75
114450,sim2 ,single-minded family bHLH transcription factor 2,0.31,1.44,0.60
140747,cxcr4a ,chemokine (C-X-C motif) receptor 4a,0.92,4.08,2.57
140815,cebpa ,"CCAAT/enhancer binding protein (C/EBP), alpha",3.47,19.65,10.90
192312,mak16 ,MAK16 homolog (S. cerevisiae),1.35,8.25,3.07
192331,snrpd1 ,small nuclear ribonucleoprotein D1 polypeptide,4.23,24.12,16.60
192339,ddx19 ,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast)",3.88,12.08,8.60
192340,scarb2 ,"scavenger receptor class B, member 2",4.58,26.85,16.44
266990,pwp2h ,PWP2 periodic tryptophan protein homolog (yeast),2.31,9.90,7.13
266992,cad ,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",3.14,19.08,11.63
286739,msna ,moesin a,14.04,74.37,47.15
286746,sdad1 ,SDA1 domain containing 1,1.73,7.84,5.92
286774,phf5a ,PHD finger protein 5A,2.56,13.06,8.75
317637,wdr43 ,WD repeat domain 43,3.11,16.89,9.35
317641,zcchc7 ,"zinc finger, CCHC domain containing 7",0.55,2.53,1.01
317644,nifk ,nucleolar protein interacting with the FHA domain of MKI67,2.43,16.44,8.99
321127,ddx18 ,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,2.58,16.81,9.25
321449,ctgfa ,connective tissue growth factor a,6.96,29.25,9.10
321460,ist1 ,increased sodium tolerance 1 homolog (yeast),4.00,14.54,10.60
321504,ssb ,Sjogren syndrome antigen B (autoantigen La),3.80,26.42,16.40
321676,api5 ,apoptosis inhibitor 5,3.82,13.70,10.19
321837,keap1a ,kelch-like ECH-associated protein 1a,1.73,9.58,6.21
321897,gnl3 ,guanine nucleotide binding protein-like 3 (nucleolar),3.19,19.19,11.96
321945,ahsa1l ,"AHA1, activator of heat shock protein ATPase homolog 1b",3.73,16.37,9.60
322089,ctps1a ,CTP synthase 1a,3.32,11.80,7.78
322115,hiat1a ,hippocampus abundant transcript 1a,1.25,3.29,1.68
322581,trabd ,TraB domain containing,3.71,12.97,9.30
323115,smarcd1 ,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",1.67,4.89,3.34
323246,cicb ,capicua transcriptional repressor b,2.63,6.53,2.92
323364,cd248a ,"CD248 molecule, endosialin a",1.89,4.22,2.48
323426,mphosph10 ,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein),1.19,4.96,3.03
323464,lsg1 ,large 60S subunit nuclear export GTPase 1,1.30,6.71,4.19
323509,gnaia ,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide a",2.70,7.45,5.21
323607,tmx1 ,thioredoxin-related transmembrane protein 1,2.08,8.54,6.51
323713,midn ,midnolin,2.97,8.03,4.12
323865,nxf1 ,nuclear RNA export factor 1,2.04,6.00,4.48
324052,c1galt1c1 ,C1GALT1-specific chaperone 1,2.10,6.97,3.47
324125,stk3 ,"serine/threonine kinase 3 (STE20 homolog, yeast)",2.43,7.50,4.72
324137,cd82b ,CD82 molecule b,2.74,8.09,4.51
324340,cyp3c1 ,"cytochrome P450, family 3, subfamily c, polypeptide 1",1.75,5.19,2.06
324407,chsy1 ,chondroitin sulfate synthase 1,1.03,3.43,2.66
324525,atxn2l ,ataxin 2-like,1.60,6.27,4.64
324724,dicer1 ,"dicer 1, ribonuclease type III",1.71,3.78,2.23
324754,gemin4 ,gem (nuclear organelle) associated protein 4,0.66,2.33,0.88
324823,gtf2b ,general transcription factor IIB,2.28,6.74,4.30
324948,gpr56 ,adhesion G protein-coupled receptor G1,1.45,3.75,1.48
325064,thoc5 ,THO complex 5,1.91,5.75,4.54
325106,utp15 ,"utp15, U3 small nucleolar ribonucleoprotein, homolog",3.13,10.15,5.59
325112,wu:fc55g01 ,wu:fc55g01,2.68,17.14,11.74
325167,ankrd13c ,ankyrin repeat domain 13C,1.87,4.97,3.28
325603,polr1b ,polymerase (RNA) I polypeptide B,1.29,3.95,2.42
325609,atf1 ,activating transcription factor 1,2.24,8.36,4.69
325699,glipr2 ,GLI pathogenesis-related 2,0.93,4.66,2.78
325735,zmynd19 ,"zinc finger, MYND-type containing 19",2.52,6.76,5.21
326287,epb41b ,erythrocyte membrane protein band 4.1b,0.83,2.13,0.99
326672,ets2 ,v-ets avian erythroblastosis virus E26 oncogene homolog 2,2.97,9.80,6.09
326935,ier5l ,immediate early response 5-like,1.97,5.61,4.39
327057,uck2b ,uridine-cytidine kinase 2b,2.36,6.66,3.52
327078,polr1a ,polymerase (RNA) I polypeptide A,1.88,7.86,4.88
327239,usp36 ,ubiquitin specific peptidase 36,1.25,5.48,3.42
327244,dnajb1b ,"DnaJ (Hsp40) homolog, subfamily B, member 1b",4.21,12.15,5.62
327327,n4bp1 ,nedd4 binding protein 1,1.48,4.47,2.35
327368,rgs14a ,regulator of G-protein signaling 14a,1.24,3.68,1.29
327396,rrad ,Ras-related associated with diabetes,3.47,10.75,6.17
327399,tnfaip1 ,"tumor necrosis factor, alpha-induced protein 1 (endothelial)",1.54,3.88,2.26
327483,si:zfos-943e10.1 ,si:zfos-943e10.1,2.47,6.30,2.97
327642,lrrc8a ,"leucine rich repeat containing 8 family, member Aa",2.67,12.32,8.10
334003,pho ,phoenix,0.57,2.30,0.97
334102,cdv3 ,carnitine deficiency-associated gene expressed in ventricle 3,4.06,18.89,11.92
334121,ptplb ,3-hydroxyacyl-CoA dehydratase 2,1.95,4.96,3.82
334173,baz1a ,"bromodomain adjacent to zinc finger domain, 1A",1.21,7.48,3.73
334271,zgc:171476 ,nuclear fragile X mental retardation protein interacting protein 1,0.78,3.08,1.78
334307,zc3h15 ,zinc finger CCCH-type containing 15,3.28,11.12,8.32
334310,wu:fi40b06 ,si:ch211-262i1.6,1.61,8.09,5.64
334362,nol6 ,nucleolar protein 6 (RNA-associated),1.28,7.66,3.85
334386,mbd1 ,methyl-CpG binding domain protein 1b,1.57,3.97,3.10
334402,brf1a ,"BRF1, RNA polymerase III transcription initiation factor a",0.46,3.61,1.02
334446,heatr1 ,HEAT repeat containing 1,2.95,8.44,4.24
334496,zgc:56148 ,RNA binding motif protein 12B,1.53,4.48,2.15
335444,ube2d2l ,"ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)",3.72,12.69,6.19
